,DEPTH,DT,GR,NPHI,RD,RHOB,ROP5_RM,RS,RT,KLOGH,PHIF,SW,VSH,pp_bar,pp_psi
168,3127.7052,87.7018966,28.9521007,0.21699999,38.9604988,2.20819997,6.30159997,95.4384002,130.2191,733.528686,0.2483,0.0785,0.12449999,320.02,4641.506076
169,3127.8576,87.0512008,29.0130004,0.2168,40.5577011,2.21429991,6.34730005,103.421096,127.670898,695.894897,0.24609999,0.0797,0.1251,320.042,4641.8251596
170,3128.01,87.7117004,29.1012001,0.2166,42.1972007,2.22000002,6.39639997,110.710601,125.064598,658.749694,0.2441,0.08089999,0.126,320.0836293469571,4642.428943322396
171,3128.1624,87.745697,29.5767002,0.2178,44.4404983,2.22000002,6.49389982,108.128898,121.629501,604.47229,0.24449999,0.08179999,0.1305,320.1448880408712,4643.317427167188
172,3128.3148,88.1520996,30.0522003,0.21899999,46.6838989,2.22000002,6.5914998,105.547302,118.194396,554.66687,0.245,0.08269999,0.1351,320.2257760817425,4644.490611134376
173,3128.4672,87.6365966,30.5277004,0.2201,48.9272003,2.22000002,6.68900012,102.965599,114.7593,508.965393,0.24549999,0.08359999,0.13969999,320.3074079933376,4645.674584053771
174,3128.6196,87.1074981,31.1849002,0.2202,51.2948989,2.2176001,6.69799995,102.866897,115.589103,453.578094,0.24629999,0.0833,0.14599999,320.37089829942346,4646.595434755178
175,3128.772,86.9440994,31.8920993,0.21999999,53.696701,2.21460008,6.68279981,103.448997,117.5886,400.991302,0.24729999,0.0825,0.15279999,320.416247,4647.2531632386
176,3128.9244,87.5426025,32.5992012,0.21979999,56.0984992,2.21149992,6.66760015,104.031196,119.588096,354.50119,0.2483,0.08179999,0.1596,320.4434540950673,4647.647769504037
177,3129.0768,87.8139038,33.3569984,0.2192,57.9029006,2.21000003,6.56479978,104.756202,120.014801,306.457885,0.2486,0.08169999,0.16689999,320.4525195846253,4647.779253551488
178,3129.2292,87.8444976,34.1647987,0.21829999,59.1189994,2.21000003,6.37580013,105.621902,118.893096,259.146911,0.24819999,0.08219999,0.1747,320.4452586918641,4647.673943015059
179,3129.3816,88.5389022,34.9724998,0.21739999,60.3352012,2.21000003,6.1868,106.487503,117.7714,219.139694,0.24779999,0.0828,0.1824,320.43256275592563,4647.4898036993945
180,3129.534,88.9765014,35.7414016,0.21719999,61.3554992,2.20930004,5.98559999,105.060203,115.184997,188.548004,0.24799999,0.08359999,0.18979999,320.416247,4647.2531632386
181,3129.6864,88.8397979,36.3754005,0.2195,61.6938018,2.20630002,5.74179983,95.6479034,107.498001,172.318099,0.24989999,0.0856,0.19589999,320.3963114240872,4646.964021632675
182,3129.8388,89.4057006,37.0093994,0.22179999,62.0321006,2.2032001,5.4979,86.2357025,99.8108978,157.485397,0.25189998,0.0877,0.202,320.37275602818727,4646.622378881622
183,3129.9912,88.745697,37.6433982,0.22419999,62.3704986,2.20020008,5.25409984,76.8235015,92.1239013,143.929306,0.25389999,0.09019999,0.2081,320.3455808123002,4646.22823498544
184,3130.1436,88.805603,38.2112998,0.22709999,62.6800994,2.20000004,5.22559976,75.2230987,90.9132003,131.442199,0.25510001,0.09049999,0.21359999,320.31478577642594,4645.781589944127
185,3130.296,88.6352005,38.7751998,0.23,62.9878997,2.20000004,5.2104001,74.1014022,90.0994033,120.033096,0.2563,0.09049999,0.21899999,320.2803709205645,4645.282443757684
186,3130.4484,88.4726028,39.3390998,0.23289999,63.2957992,2.20000004,5.19519996,72.9797973,89.2855987,109.614303,0.2574,0.0907,0.22439999,320.2470896950579,4644.7997395191815
187,3130.6008,86.3960037,39.2901,0.23229999,62.3516998,2.20000004,5.24849987,71.7350997,86.2723007,110.1669,0.2572,0.092,0.2239,320.2196955502482,4644.40242032169
188,3130.7532,85.2583999,38.9273986,0.2298,60.7667007,2.20000004,5.33690023,70.4274978,82.1331024,116.2891,0.25619998,0.09409999,0.2205,320.19818848613534,4644.09048616521
