iter	RMSE
0	174.1464072
1	167.2341893
2	160.6787346
3	154.3550502
4	148.2354912
5	142.4902992
6	136.9630654
7	131.5921303
8	126.5216419
9	121.6522302
10	116.9857292
11	112.5035981
12	108.1870463
13	104.1353857
14	100.2166884
15	96.39703724
16	92.7768078
17	89.31038892
18	86.09570167
19	83.00079909
20	79.97769677
21	77.16205722
22	74.39753935
23	71.76029259
24	69.34520662
25	67.01077891
26	64.75876084
27	62.62385295
28	60.61531627
29	58.61638443
30	56.73100733
31	55.00818329
32	53.33986825
33	51.7268
34	50.29356575
35	48.83805942
36	47.47481346
37	46.21778216
38	44.96525886
39	43.8213374
40	42.70372239
41	41.63890401
42	40.64102912
43	39.67305087
44	38.79159843
45	37.94608824
46	37.16099984
47	36.37318008
48	35.65572964
49	34.98893866
50	34.34258017
51	33.7611436
52	33.17832296
53	32.57636933
54	32.06585926
55	31.58170408
56	31.15793764
57	30.70905882
58	30.31485368
59	29.95333078
60	29.58229467
61	29.21892629
62	28.93657155
63	28.6413913
64	28.35234881
65	28.07156168
66	27.81557902
67	27.56588611
68	27.32392266
69	27.11870391
70	26.89789646
71	26.7240266
72	26.54741591
73	26.37307682
74	26.19773561
75	26.01666299
76	25.87858363
77	25.74726002
78	25.62209929
79	25.51125421
80	25.39543816
81	25.28994629
82	25.18840944
83	25.08864489
84	24.99055861
85	24.88999557
86	24.80841502
87	24.70858929
88	24.6167384
89	24.53221295
90	24.43675972
91	24.38308395
92	24.30954786
93	24.25439371
94	24.20555142
95	24.15162683
96	24.07309922
97	24.01782341
98	23.9476193
99	23.91503351
100	23.8549718
101	23.78904923
102	23.73581911
103	23.65965432
104	23.62905247
105	23.56947612
106	23.51125708
107	23.46491876
108	23.4247828
109	23.35767459
110	23.30302869
111	23.26425424
112	23.21757477
113	23.18742929
114	23.12725973
115	23.08372297
116	23.04485214
117	23.02516973
118	22.97341511
119	22.91320584
120	22.84233495
121	22.80323128
122	22.76835354
123	22.73150605
124	22.68514969
125	22.65747071
126	22.58610445
127	22.55900917
128	22.5310078
129	22.48892814
130	22.45651244
131	22.4220397
132	22.39295244
133	22.36220061
134	22.3156685
135	22.29647553
136	22.24709983
137	22.21608246
138	22.1844041
139	22.15583542
140	22.1338006
141	22.11328871
142	22.08322771
143	22.05402881
144	22.02945932
145	21.99890458
146	21.97329059
147	21.95183673
148	21.90327317
149	21.87993803
150	21.85375828
151	21.83694342
152	21.80635104
153	21.78298354
154	21.75223656
155	21.72880019
156	21.71808534
157	21.66574216
158	21.64551746
159	21.63255905
160	21.61340924
161	21.59622483
162	21.56122355
163	21.54315144
164	21.5232553
165	21.5069067
166	21.47646865
167	21.43580609
168	21.42455705
169	21.37632536
170	21.35234291
171	21.31406564
172	21.26741542
173	21.25081898
174	21.23525014
175	21.20954854
176	21.19408138
177	21.17548468
178	21.1370402
179	21.10894375
180	21.08926112
181	21.07211284
182	21.0477284
183	21.03627104
184	21.02401801
185	21.00869111
186	20.97768291
187	20.95012662
188	20.9075041
189	20.89290108
190	20.87636987
191	20.86565383
192	20.82784794
193	20.79117387
194	20.76157623
195	20.74175876
196	20.73146693
197	20.71300169
198	20.69630933
199	20.65431387
200	20.63546673
201	20.62207402
202	20.60229953
203	20.56622293
204	20.55343485
205	20.54302663
206	20.53035147
207	20.5141064
208	20.50221145
209	20.4588358
210	20.42673593
211	20.41482638
212	20.40191641
213	20.37665564
214	20.36188066
215	20.35255599
216	20.33868729
217	20.32309046
218	20.30817025
219	20.29489784
220	20.28231234
221	20.27294677
222	20.24270027
223	20.2293099
224	20.20715363
225	20.18998762
226	20.16582765
227	20.15915898
228	20.12658398
229	20.1169638
230	20.09392946
231	20.07204331
232	20.06190236
233	20.05344689
234	20.03705491
235	20.02835162
236	20.01877305
237	20.00881481
238	19.99979941
239	19.98993517
240	19.98515037
241	19.96121751
242	19.94312263
243	19.92585504
244	19.905769
245	19.88236991
246	19.87045192
247	19.86381524
248	19.85492984
249	19.84388696
250	19.83352113
251	19.80865106
252	19.8029328
253	19.78296194
254	19.7572956
255	19.72525483
256	19.72148616
257	19.71117258
258	19.70181326
259	19.68263845
260	19.65500154
261	19.62768866
262	19.60640905
263	19.5820685
264	19.57334309
265	19.55807555
266	19.54869685
267	19.53828193
268	19.52965298
269	19.50731769
270	19.49094668
271	19.48749314
272	19.45556042
273	19.43758886
274	19.4068508
275	19.40358708
276	19.37827913
277	19.37111868
278	19.33308789
279	19.31207312
280	19.30520331
281	19.29602749
282	19.2828677
283	19.27801347
284	19.27007806
285	19.26341473
286	19.24199598
287	19.22316588
288	19.19650782
289	19.18217257
290	19.14577043
291	19.12777227
292	19.12135065
293	19.1185758
294	19.09670086
295	19.07042838
296	19.06741514
297	19.06464933
298	19.04627097
299	19.04369315
300	19.02291842
301	19.02041302
302	19.00157395
303	18.99529196
304	18.98890304
305	18.98197906
306	18.97539767
307	18.94986083
308	18.93983016
309	18.91926383
310	18.91140083
311	18.90813874
312	18.89744991
313	18.88947493
314	18.85285657
315	18.84596398
316	18.84017962
317	18.817658
318	18.80101138
319	18.79777255
320	18.77788781
321	18.76823397
322	18.75098821
323	18.74363128
324	18.71485301
325	18.69031728
326	18.68783147
327	18.66673331
328	18.65801071
329	18.62895108
330	18.60694128
331	18.59127828
332	18.58420247
333	18.58192128
334	18.5641367
335	18.54469571
336	18.52771782
337	18.52091865
338	18.51808365
339	18.51535242
340	18.49613834
341	18.47998416
342	18.47426781
343	18.46734437
344	18.46508674
345	18.44661509
346	18.42521828
347	18.40235277
348	18.39195839
349	18.35891174
350	18.35252249
351	18.32029901
352	18.31817869
353	18.29300674
354	18.28608331
355	18.28394892
356	18.26512739
357	18.26312192
358	18.24600119
359	18.2146416
360	18.19497818
361	18.17138678
362	18.14325793
363	18.11772277
364	18.09754236
365	18.0927688
366	18.09069588
367	18.06794258
368	18.05050843
369	18.04590214
370	18.01917271
371	17.99734375
372	17.99134551
373	17.98564588
374	17.96832446
375	17.96387177
376	17.94840837
377	17.92636385
378	17.91795362
379	17.89646477
380	17.88455252
381	17.87453156
382	17.84836761
383	17.82612692
384	17.81097471
385	17.7903198
386	17.7724631
387	17.75662725
388	17.74529509
389	17.74086646
390	17.73453898
391	17.72976992
392	17.72259629
393	17.71206344
394	17.69377878
395	17.6886858
396	17.67230818
397	17.65711299
398	17.6507043
399	17.62128623
400	17.61026876
401	17.59142216
402	17.57574899
403	17.55866452
404	17.55245
405	17.5424917
406	17.53746898
407	17.52835337
408	17.5181314
409	17.50613835
410	17.49000424
411	17.47430872
412	17.45637415
413	17.45108007
414	17.44553334
415	17.43213418
416	17.41297661
417	17.41139706
418	17.38043248
419	17.35861347
420	17.35280946
421	17.33422781
422	17.33107095
423	17.31706487
424	17.30449253
425	17.29371996
426	17.27016
427	17.23359832
428	17.21301836
429	17.21132439
430	17.202738
431	17.19485642
432	17.1696353
433	17.15630168
434	17.1494433
435	17.12862175
436	17.11818514
437	17.09888844
438	17.08302323
439	17.06012065
440	17.05750316
441	17.04193253
442	17.03168737
443	17.00545939
444	16.99814399
445	16.98729836
446	16.9413349
447	16.90633655
448	16.89028359
449	16.88477355
450	16.87001098
451	16.8499876
452	16.81542422
453	16.78775836
454	16.77804015
455	16.76916282
456	16.76760327
457	16.75961228
458	16.75819171
459	16.74141399
460	16.73703321
461	16.71534892
462	16.70196468
463	16.69003529
464	16.67469885
465	16.66526164
466	16.6576359
467	16.64292253
468	16.63554256
469	16.60595758
470	16.59556349
471	16.59425941
472	16.57295514
473	16.5412837
474	16.5351305
475	16.52853446
476	16.52301054
477	16.50237773
478	16.47329679
479	16.44959123
480	16.42924806
481	16.42307893
482	16.41054257
483	16.40842501
484	16.36834906
485	16.36420555
486	16.35332922
487	16.34398752
488	16.33264233
489	16.32515176
490	16.317517
491	16.3112755
492	16.29169668
493	16.27205567
494	16.23796185
495	16.23187696
496	16.22682083
497	16.20812869
498	16.18565158
499	16.16368098
500	16.15887837
501	16.14495767
502	16.13512545
503	16.12255885
504	16.11674014
505	16.10487844
506	16.10383385
507	16.07321855
508	16.05026397
509	16.04588914
510	16.02883166
511	16.02744085
512	16.00902405
513	15.99913233
514	15.9892759
515	15.97339027
516	15.97203879
517	15.96112022
518	15.9601654
519	15.94215882
520	15.93040338
521	15.90672809
522	15.90193783
523	15.89726774
524	15.89212036
525	15.86298202
526	15.85368708
527	15.82889316
528	15.79946593
529	15.79851007
530	15.78636981
531	15.75947913
532	15.75073432
533	15.73778736
534	15.72591602
535	15.71624198
536	15.71187011
537	15.70234288
538	15.70123224
539	15.68424616
540	15.67917699
541	15.67829504
542	15.6614935
543	15.65292075
544	15.63378802
545	15.61616006
546	15.59341677
547	15.57870698
548	15.57171407
549	15.554087
550	15.5420605
551	15.5367946
552	15.52052475
553	15.51581125
554	15.49731615
555	15.48449286
556	15.48344402
557	15.46744388
558	15.46196427
559	15.44394853
560	15.43362549
561	15.41973877
562	15.39505044
563	15.37940709
564	15.36716303
565	15.3566094
566	15.35559093
567	15.33258102
568	15.31528782
569	15.30425176
570	15.30326913
571	15.28843756
572	15.27904025
573	15.26707488
574	15.25750437
575	15.24663256
576	15.21793566
577	15.20790738
578	15.19573416
579	15.1922886
580	15.16472027
581	15.15574953
582	15.15177903
583	15.13986774
584	15.11327075
585	15.08830667
586	15.07172504
587	15.0577966
588	15.05059421
589	15.04631127
590	15.03267776
591	15.0184443
592	14.99358195
593	14.98672102
594	14.97198241
595	14.95749941
596	14.9433213
597	14.93889123
598	14.93342936
599	14.91178395
600	14.9003808
601	14.89191272
602	14.89094826
603	14.87676259
604	14.86178678
605	14.84616421
606	14.84300869
607	14.82175186
608	14.80642206
609	14.79196153
610	14.77704761
611	14.76933754
612	14.75943535
613	14.74845824
614	14.73465756
615	14.72300065
616	14.71841147
