iter	Passed	Remaining
0	21	21971
1	43	21482
2	63	21174
3	84	21037
4	104	20887
5	125	20732
6	145	20691
7	166	20625
8	186	20567
9	197	19549
10	217	19552
11	237	19523
12	256	19473
13	276	19448
14	296	19457
15	315	19416
16	335	19423
17	356	19431
18	376	19426
19	396	19419
20	415	19389
21	435	19360
22	455	19346
23	475	19352
24	496	19348
25	516	19338
26	535	19302
27	555	19286
28	577	19324
29	597	19332
30	618	19343
31	639	19342
32	650	19066
33	671	19076
34	673	18556
35	693	18568
36	713	18575
37	733	18572
38	753	18574
39	774	18589
40	795	18610
41	816	18623
42	836	18622
43	857	18632
44	877	18620
45	897	18619
46	918	18618
47	937	18593
48	957	18588
49	977	18577
50	997	18568
51	1017	18553
52	1037	18546
53	1057	18529
54	1077	18519
55	1098	18512
56	1118	18499
57	1138	18490
58	1157	18468
59	1177	18447
60	1196	18424
61	1215	18395
62	1235	18375
63	1255	18366
64	1275	18354
65	1295	18334
66	1315	18320
67	1335	18299
68	1355	18286
69	1374	18263
70	1394	18243
71	1414	18229
72	1433	18208
73	1453	18188
74	1473	18173
75	1493	18152
76	1512	18129
77	1532	18111
78	1552	18098
79	1572	18086
80	1592	18071
81	1612	18054
82	1632	18035
83	1651	18012
84	1671	17996
85	1693	17993
86	1713	17983
87	1734	17977
88	1755	17971
89	1776	17958
90	1796	17942
91	1815	17918
92	1835	17901
93	1856	17890
94	1877	17887
95	1898	17879
96	1919	17867
97	1939	17854
98	1960	17842
99	1980	17825
100	2001	17810
101	2020	17788
102	2040	17767
103	2059	17746
104	2079	17724
105	2099	17706
106	2119	17687
107	2139	17672
108	2159	17654
109	2179	17635
110	2200	17627
111	2222	17619
112	2244	17616
113	2266	17617
114	2290	17623
115	2313	17629
116	2349	17728
117	2374	17745
118	2396	17745
119	2420	17752
120	2443	17753
121	2467	17761
122	2490	17755
123	2513	17756
124	2535	17750
125	2557	17738
126	2578	17727
127	2600	17716
128	2621	17700
129	2623	17560
130	2644	17543
131	2665	17529
132	2685	17506
133	2705	17482
134	2729	17487
135	2749	17465
136	2811	17710
137	2902	18128
138	2945	18243
139	2966	18223
140	2987	18200
141	3009	18182
142	3030	18162
143	3052	18143
144	3072	18118
145	3093	18094
146	3113	18066
147	3116	17943
148	3136	17913
149	3156	17884
150	3175	17855
151	3196	17830
152	3215	17801
153	3234	17771
154	3255	17746
155	3275	17720
156	3295	17696
157	3316	17675
158	3336	17648
159	3356	17623
160	3377	17598
161	3397	17572
162	3417	17548
163	3437	17521
164	3456	17494
165	3476	17466
166	3496	17439
167	3516	17414
168	3536	17390
169	3556	17366
170	3576	17339
171	3596	17312
172	3616	17286
173	3635	17259
174	3655	17233
175	3674	17204
176	3694	17179
177	3715	17155
178	3734	17128
179	3754	17104
180	3774	17079
181	3793	17050
182	3813	17024
183	3833	16999
184	3853	16975
185	3872	16948
186	3892	16923
187	3914	16907
188	3934	16882
189	3954	16860
190	3975	16837
191	3995	16815
192	4016	16793
193	4036	16770
194	4058	16752
195	4079	16733
196	4100	16713
197	4127	16719
198	4148	16699
199	4169	16678
200	4190	16656
201	4210	16632
202	4230	16609
203	4250	16586
204	4271	16565
205	4292	16543
206	4312	16519
207	4331	16493
208	4351	16469
209	4370	16442
210	4389	16415
211	4409	16391
212	4428	16363
213	4448	16338
214	4468	16314
215	4488	16291
216	4508	16269
217	4529	16246
218	4549	16222
219	4569	16201
220	4589	16176
221	4609	16152
222	4628	16127
223	4649	16105
224	4668	16081
225	4689	16060
226	4709	16037
227	4729	16012
228	4749	15990
229	4769	15967
230	4789	15943
231	4808	15919
232	4828	15894
233	4847	15869
234	4868	15847
235	4887	15823
236	4907	15800
237	4927	15777
238	4947	15754
239	4967	15730
240	4988	15709
241	5008	15687
242	5028	15665
243	5049	15645
244	5070	15626
245	5091	15605
246	5111	15581
247	5131	15560
248	5152	15540
249	5174	15523
250	5194	15501
251	5215	15479
252	5235	15458
253	5255	15436
254	5276	15416
255	5296	15392
256	5317	15371
257	5337	15349
258	5357	15326
259	5477	15589
260	5512	15607
261	5532	15585
262	5553	15563
263	5574	15540
264	5594	15517
265	5614	15491
266	5634	15467
267	5654	15445
268	5674	15419
269	5694	15395
270	5713	15369
271	5733	15344
272	5753	15320
273	5773	15298
274	5793	15273
275	5812	15248
276	5833	15225
277	5853	15201
