,param_hidden_layer_sizes,param_solver,mean_test_r2,mean_test_neg_mean_squared_error
0,"(50, 30, 10, 5)",adam,0.7208499566652783,-9333.764664637883
1,"(50, 30, 10, 5)",adam,0.7208499566652783,-9333.764664637883
2,"(50, 30, 10, 5)",adam,0.7208499566652783,-9333.764664637883
3,"(50, 30, 10, 5)",adam,0.7208499566652783,-9333.764664637883
4,"(50, 30, 10, 5)",adam,0.7208499566652783,-9333.764664637883
5,"(100, 60, 20, 10)",adam,0.7104000245009275,-9640.171256272506
6,"(100, 60, 20, 10)",adam,0.7104000245009275,-9640.171256272506
7,"(100, 60, 20, 10)",adam,0.7104000245009275,-9640.171256272506
8,"(100, 60, 20, 10)",adam,0.7104000245009275,-9640.171256272506
9,"(100, 60, 20, 10)",adam,0.7104000245009275,-9640.171256272506
10,"(70, 40, 10)",adam,0.7057845995995025,-9710.245170142454
11,"(70, 40, 10)",adam,0.7057845995995025,-9710.245170142454
12,"(70, 40, 10)",adam,0.7057845995995025,-9710.245170142454
13,"(70, 40, 10)",adam,0.7057845995995025,-9710.245170142454
14,"(70, 40, 10)",adam,0.7057845995995025,-9710.245170142454
15,"(12, 7, 3)",adam,0.5472427036704641,-14939.607227460961
16,"(12, 7, 3)",adam,0.6347787583177885,-12134.823098001923
17,"(12, 7, 3)",adam,0.6347787583177885,-12134.823098001923
18,"(12, 7, 3)",adam,0.6347787583177885,-12134.823098001923
19,"(12, 7, 3)",adam,0.6347787583177885,-12134.823098001923
20,"(50, 30, 10, 5)",adam,0.7275552831246139,-9135.580053907604
21,"(50, 30, 10, 5)",adam,0.7275552831246139,-9135.580053907604
22,"(50, 30, 10, 5)",adam,0.7275552831246139,-9135.580053907604
23,"(50, 30, 10, 5)",adam,0.7275552831246139,-9135.580053907604
24,"(50, 30, 10, 5)",adam,0.7275552831246139,-9135.580053907604
25,"(100, 60, 20, 10)",adam,0.7211093042578491,-9243.662073686575
26,"(100, 60, 20, 10)",adam,0.7211093042578491,-9243.662073686575
27,"(100, 60, 20, 10)",adam,0.7211093042578491,-9243.662073686575
28,"(100, 60, 20, 10)",adam,0.7211093042578491,-9243.662073686575
29,"(100, 60, 20, 10)",adam,0.7211093042578491,-9243.662073686575
30,"(70, 40, 10)",adam,0.7160522669038976,-9422.334936724597
31,"(70, 40, 10)",adam,0.7160522669038976,-9422.334936724597
32,"(70, 40, 10)",adam,0.7160522669038976,-9422.334936724597
33,"(70, 40, 10)",adam,0.7160522669038976,-9422.334936724597
34,"(70, 40, 10)",adam,0.7160522669038976,-9422.334936724597
35,"(12, 7, 3)",adam,0.5459733638431786,-14986.169792591882
36,"(12, 7, 3)",adam,0.6353135339717939,-12178.02169280085
37,"(12, 7, 3)",adam,0.6353135339717939,-12178.02169280085
38,"(12, 7, 3)",adam,0.6353135339717939,-12178.02169280085
39,"(12, 7, 3)",adam,0.6353135339717939,-12178.02169280085
