,param_hidden_layer_sizes,param_solver,mean_test_r2,mean_test_neg_mean_squared_error
0,"(50, 30, 10, 5)",adam,0.7336581219116559,-8603.208029876678
1,"(50, 30, 10, 5)",adam,0.7905419579159244,-6895.408436368665
2,"(50, 30, 10, 5)",adam,-140.9660935922142,-4560169.807616734
3,"(50, 30, 10, 5)",adam,0.7525054170795757,-8238.433449578788
4,"(100, 60, 20, 10)",adam,0.7224364091935888,-9237.538466145163
5,"(100, 60, 20, 10)",adam,0.7781683255508389,-7283.300318534998
6,"(100, 60, 20, 10)",adam,0.7767259381156674,-7377.9130784793815
7,"(100, 60, 20, 10)",adam,0.754780819873826,-8045.500200380908
8,"(70, 40, 10)",adam,0.7500225551012598,-8200.112289430757
9,"(70, 40, 10)",adam,0.756033830702319,-8014.899445090928
10,"(70, 40, 10)",adam,0.7883061363524165,-7000.942660565197
11,"(70, 40, 10)",adam,0.7661541695782313,-7620.5450245118245
