param_n_estimators,param_criterion,param_max_depth,mean_test_r2,mean_test_neg_mean_squared_error
200,squared_error,6,0.9374251860442413,-2047.795937101218
300,squared_error,6,0.9371765538257286,-2056.4593339546
400,squared_error,6,0.9370460893896493,-2059.896248528921
200,squared_error,8,0.9487385443804996,-1679.738932375601
300,squared_error,8,0.9483183098625778,-1693.9655479556484
400,squared_error,8,0.9483069618964473,-1693.56051190257
200,squared_error,10,0.9521388294001365,-1568.8416030499206
300,squared_error,10,0.9515992395431176,-1586.9057025567508
400,squared_error,10,0.9513414040260242,-1594.2201310155474
200,absolute_error,6,0.9353104435181298,-2120.112306975506
300,absolute_error,6,0.9354918675693653,-2114.071854615149
400,absolute_error,6,0.9353653631778215,-2118.0375261467307
200,absolute_error,8,0.9495385531261615,-1657.8711561828222
300,absolute_error,8,0.9497000691938196,-1652.7353947606748
400,absolute_error,8,0.9494841896040421,-1659.4184743130052
200,absolute_error,10,0.9537884775429708,-1519.747395388789
300,absolute_error,10,0.9539086353389556,-1516.3618170695213
400,absolute_error,10,0.9535684956079018,-1526.6815831116078
