iter	Passed	Remaining
0	1	1149
1	1	988
2	2	976
3	3	953
4	4	916
5	5	902
6	6	895
7	7	892
8	8	885
9	8	873
10	9	864
11	10	861
12	11	852
13	11	830
14	12	824
15	13	822
16	14	821
17	15	819
18	15	817
19	16	815
20	17	812
21	18	809
22	19	807
23	19	806
24	20	803
25	21	802
26	22	800
27	22	797
28	23	794
29	24	791
30	25	790
31	26	789
32	26	788
33	27	787
34	28	785
35	29	784
36	30	781
37	30	779
38	31	778
39	32	776
40	33	775
41	34	775
42	34	774
43	35	774
44	36	772
45	37	770
46	38	770
47	38	769
48	39	768
49	40	767
50	41	766
51	41	764
52	42	763
53	43	763
54	44	762
55	45	761
56	45	760
57	46	759
58	47	759
59	48	757
60	49	755
61	49	755
62	50	755
63	51	754
64	52	753
65	53	752
66	53	751
67	54	750
68	55	748
69	56	748
70	57	748
71	57	747
72	58	746
73	59	744
74	60	743
75	61	741
76	61	741
77	62	741
78	63	741
79	64	740
80	65	739
81	66	739
82	66	738
83	67	737
84	68	736
85	69	735
86	69	734
87	70	733
88	71	732
89	72	731
90	73	730
91	73	729
92	74	728
93	75	728
94	76	727
95	77	725
96	77	725
97	78	724
98	79	723
99	80	722
100	81	721
101	81	720
102	82	719
103	83	718
104	84	717
105	85	717
106	85	716
107	86	715
108	87	715
109	88	714
110	89	714
111	90	713
112	90	712
113	91	711
114	92	711
115	93	709
116	93	709
117	94	708
118	95	707
119	96	705
120	97	704
121	97	703
122	98	703
123	99	702
124	100	701
125	101	701
126	101	700
127	102	699
128	103	698
129	104	697
130	105	696
131	105	695
132	106	694
133	107	693
134	108	692
135	108	691
136	109	690
137	110	689
138	111	688
139	112	688
140	112	687
141	113	686
142	114	685
143	115	684
144	115	683
145	116	682
146	117	681
147	118	681
148	119	680
149	119	679
150	120	677
151	121	676
152	122	675
153	122	674
154	123	672
155	124	672
156	125	671
157	125	670
158	127	671
159	127	670
160	128	669
161	129	668
162	129	667
163	130	666
164	131	665
165	132	664
166	132	663
167	133	662
168	134	660
169	135	659
170	135	658
171	136	657
172	137	656
173	138	655
174	138	654
175	139	652
176	140	651
177	140	650
178	141	649
179	142	648
180	142	646
181	143	645
182	144	644
183	145	645
184	146	644
185	147	643
186	147	642
187	148	641
188	149	640
189	149	639
190	150	638
191	151	637
192	152	635
193	152	634
194	153	633
195	154	632
196	154	631
197	155	630
198	156	629
199	157	628
200	157	627
201	158	626
202	159	626
203	160	625
204	161	624
205	161	623
206	162	622
207	163	621
208	163	620
209	164	619
210	165	618
211	166	617
212	166	615
213	167	614
214	168	613
215	168	612
216	169	612
217	170	611
218	171	610
219	171	609
220	172	607
221	173	606
222	173	605
223	174	604
224	175	603
225	176	602
226	176	601
227	177	600
228	178	599
229	178	598
230	179	597
231	180	596
232	181	596
233	181	595
234	182	594
235	183	593
236	183	592
237	184	591
238	185	590
239	186	589
240	186	588
241	187	587
242	188	586
243	188	585
244	189	584
245	190	583
246	191	582
247	191	581
248	192	580
249	193	579
250	194	578
251	194	578
252	195	577
253	196	576
254	196	575
255	197	574
256	198	573
257	199	572
258	199	571
259	200	570
260	201	569
261	201	568
262	202	567
263	203	566
264	204	566
265	204	565
266	205	564
267	206	563
268	207	562
269	207	561
270	208	561
271	209	560
272	209	559
273	210	558
274	211	557
275	212	556
276	212	555
277	213	554
278	214	553
279	214	552
280	215	551
281	216	550
282	217	549
283	217	548
284	218	548
285	219	547
286	220	547
287	220	546
288	221	545
289	222	544
290	223	543
291	223	542
292	224	541
293	225	540
294	225	540
295	226	539
296	227	538
297	228	537
298	228	536
299	229	535
300	230	534
301	231	534
302	231	533
303	232	532
304	233	532
305	234	531
306	235	530
307	235	529
308	236	529
309	237	528
310	238	527
311	238	526
312	239	525
313	240	524
314	240	523
315	241	522
316	242	521
317	243	521
318	243	520
319	244	519
320	245	518
321	245	517
322	246	516
323	247	516
324	248	515
325	248	514
326	249	513
327	250	512
328	250	511
329	251	510
330	252	510
331	253	509
332	253	508
333	254	507
334	255	506
335	256	505
336	256	505
337	257	504
338	258	503
339	259	502
340	259	502
341	260	501
342	261	500
343	262	499
344	262	498
345	263	498
346	264	497
347	264	496
348	265	495
349	266	494
350	267	493
351	267	492
352	268	492
353	269	491
354	270	491
355	270	490
356	271	489
357	272	488
358	273	487
359	273	486
360	274	485
361	275	485
362	275	484
363	276	483
364	277	482
365	278	481
366	278	480
367	279	479
368	280	479
369	281	478
370	281	477
371	282	477
372	283	476
373	284	475
374	284	474
375	285	473
376	286	472
377	286	472
378	287	471
379	288	470
380	289	469
381	289	468
382	290	468
383	291	467
384	291	466
385	292	465
386	293	464
387	294	464
388	294	463
389	295	462
390	296	461
391	297	460
392	297	459
393	298	459
394	299	458
395	299	457
396	300	456
397	301	455
398	302	455
399	302	454
400	303	453
401	304	452
402	304	451
403	305	451
404	306	450
405	307	449
406	308	448
407	308	448
408	309	447
409	310	446
410	310	445
411	311	444
412	312	443
413	313	443
414	313	442
415	314	441
416	315	440
417	315	439
418	316	439
419	317	438
420	318	437
421	318	436
422	319	436
423	320	435
424	321	434
425	322	433
426	322	433
427	323	432
428	324	431
429	324	430
430	325	429
431	326	429
432	327	428
433	327	427
434	328	426
435	329	425
436	329	424
437	330	424
438	331	423
439	332	422
440	332	421
441	333	421
442	334	420
443	335	419
444	335	418
445	336	417
446	337	417
447	337	416
448	338	415
449	339	414
450	339	413
451	340	413
452	341	412
453	342	411
454	342	410
455	343	409
456	344	409
457	345	408
458	346	408
459	347	407
460	347	406
461	348	405
462	349	405
463	349	404
464	350	403
465	351	402
466	352	401
467	352	401
468	353	400
469	354	399
470	354	398
471	355	398
472	356	397
473	357	396
474	357	395
475	358	394
476	359	394
477	360	393
478	361	392
479	361	391
480	362	391
481	363	390
482	363	389
483	364	388
484	365	387
485	365	387
486	366	386
487	367	385
488	368	384
489	368	383
490	369	383
491	370	382
492	371	381
493	371	380
494	372	380
495	373	379
496	373	378
497	374	377
498	375	376
499	376	376
500	376	375
501	377	374
502	378	373
503	378	372
504	379	372
505	380	371
506	381	370
507	381	369
508	382	369
509	383	368
510	384	367
511	384	366
512	385	365
513	386	365
514	386	364
515	387	363
516	388	362
517	389	361
518	389	361
519	390	360
520	391	359
521	391	358
522	392	358
523	393	357
524	394	356
525	394	355
526	395	354
527	396	354
