iter	Passed	Remaining
0	1	1360
1	2	1257
2	3	1212
3	4	1164
4	5	1104
5	6	1064
6	7	1025
7	7	991
8	8	962
9	9	938
10	10	918
11	10	901
12	11	886
13	12	873
14	13	862
15	13	854
16	14	847
17	15	840
18	16	832
19	16	826
20	17	820
21	18	821
22	19	818
23	20	813
24	20	809
25	21	806
26	22	804
27	23	801
28	23	798
29	24	795
30	25	791
31	26	788
32	26	786
33	27	783
34	28	780
35	29	777
36	29	775
37	30	773
38	31	774
39	32	773
40	32	771
41	33	769
42	34	767
43	35	765
44	35	763
45	36	762
46	37	760
47	38	759
48	39	757
49	39	755
50	40	753
51	41	751
52	41	749
53	42	748
54	43	750
55	44	749
56	45	749
57	46	747
58	46	746
59	47	745
60	48	744
61	49	742
62	49	741
63	50	739
64	51	738
65	52	736
66	52	735
67	53	733
68	54	733
69	55	731
70	55	732
71	56	732
72	57	730
73	58	729
74	59	728
75	59	727
76	60	725
77	61	724
78	62	723
79	62	722
80	63	722
81	64	721
82	65	719
83	65	718
84	66	717
85	67	716
86	68	716
87	69	715
88	69	715
89	70	714
90	71	714
91	72	714
92	73	714
93	74	713
94	74	713
95	75	712
96	76	712
97	77	711
98	78	710
99	78	710
100	79	709
101	80	710
102	81	710
103	82	709
104	83	709
105	83	708
106	84	706
107	85	706
108	86	704
109	86	703
110	87	702
111	88	701
112	89	700
113	90	699
114	90	698
115	91	697
116	92	696
117	93	696
118	94	696
119	94	695
120	95	695
121	96	694
122	97	693
123	98	692
124	98	691
125	99	690
126	100	689
127	101	688
128	101	687
129	102	686
130	103	685
131	104	684
132	104	683
133	105	682
134	106	682
135	107	682
136	108	681
137	108	680
138	109	679
139	110	678
140	111	677
141	111	676
142	112	675
143	113	674
144	114	673
145	114	671
146	115	670
147	116	669
148	117	668
149	117	668
150	118	667
151	119	666
152	120	666
153	121	665
154	121	664
155	122	663
156	123	662
157	124	661
158	124	660
159	125	659
160	126	658
161	127	657
162	127	656
163	128	655
164	129	654
165	130	653
166	131	653
167	131	652
168	132	651
169	133	651
170	134	650
171	134	649
172	135	648
173	136	647
174	137	646
175	137	645
176	138	645
177	139	644
178	140	643
179	141	642
180	141	641
181	142	640
182	143	640
183	144	640
184	145	639
185	145	638
186	146	637
187	147	636
188	148	635
189	148	635
190	149	634
191	150	634
192	151	633
193	152	632
194	153	632
195	153	631
196	154	630
197	155	629
198	156	629
199	157	628
200	157	627
201	158	626
202	159	625
203	160	624
204	160	623
205	161	622
206	162	621
207	163	620
208	163	620
209	164	619
210	165	618
211	166	618
212	167	617
213	167	616
214	168	616
215	169	615
216	170	614
217	171	614
218	171	613
219	172	612
220	173	611
221	174	610
222	174	609
223	175	608
224	176	607
225	177	606
226	178	606
227	178	605
228	179	604
229	180	603
230	181	603
231	182	602
232	182	602
233	183	601
234	184	600
235	185	599
236	186	598
237	186	598
238	187	597
239	188	596
240	189	595
241	189	594
242	190	593
243	191	593
244	192	592
245	192	591
246	193	591
247	194	590
248	195	590
249	196	589
250	197	588
251	197	587
252	198	586
253	199	585
254	200	584
255	200	583
256	201	583
257	202	582
258	203	581
259	203	580
260	204	579
261	205	579
262	206	578
263	207	577
264	208	576
265	208	576
266	209	575
267	210	574
268	211	573
269	211	572
270	212	571
271	213	570
272	213	569
273	214	568
274	215	568
275	216	567
276	216	566
277	217	565
278	218	564
279	219	564
280	220	563
281	220	562
282	221	561
283	222	560
284	223	560
285	224	559
286	224	558
287	225	557
288	226	556
289	226	555
290	227	554
291	228	553
292	229	553
293	229	552
294	230	551
295	231	550
296	232	550
297	233	549
298	234	548
299	234	547
300	235	547
301	236	546
302	237	545
303	237	544
304	238	543
305	239	542
306	240	542
307	240	541
308	241	540
309	242	539
310	243	538
311	244	538
312	244	537
313	245	536
314	246	536
315	247	535
316	247	534
317	248	533
318	249	532
319	250	531
320	251	531
321	251	530
322	252	529
323	253	528
324	254	527
325	254	526
326	255	525
327	256	525
328	257	524
329	258	524
330	258	523
331	259	522
332	260	521
333	261	520
334	261	519
335	262	518
336	263	517
337	264	517
338	264	516
339	265	515
340	266	514
341	267	513
342	267	512
343	268	512
344	269	511
345	270	510
346	270	509
347	271	509
348	272	508
349	273	507
350	273	506
351	274	505
352	275	504
353	276	504
354	276	503
355	277	502
356	278	501
357	279	500
358	280	499
359	280	499
360	281	498
361	282	497
362	283	496
363	283	496
364	284	495
365	285	494
366	286	493
367	286	492
368	287	491
369	288	491
370	289	490
371	289	489
372	290	488
373	291	487
374	292	487
375	292	486
376	293	485
377	294	484
378	295	484
379	296	483
380	296	482
381	297	481
382	298	480
383	299	480
384	300	479
385	300	478
386	301	477
387	302	476
388	303	475
389	303	475
390	304	474
391	305	473
392	306	473
393	307	472
394	308	471
395	308	471
396	309	470
397	310	469
398	311	468
399	311	467
400	312	466
401	313	466
402	314	465
403	314	464
404	315	463
405	316	462
406	317	461
407	317	461
408	318	460
409	319	460
410	320	459
411	321	458
412	321	457
413	322	456
414	323	456
415	324	455
416	325	454
417	326	454
418	327	453
419	328	453
420	328	452
421	329	451
422	330	451
423	331	450
424	332	450
425	333	449
426	334	449
427	335	448
428	336	447
429	337	447
430	338	447
431	339	446
432	340	445
433	341	444
434	341	443
435	342	443
436	343	442
437	344	442
438	345	441
439	346	440
440	347	440
441	348	439
442	348	438
443	349	437
444	350	437
445	351	436
446	352	436
447	353	435
448	354	434
449	355	434
450	356	433
451	357	433
452	358	432
453	358	431
454	359	430
455	360	429
456	361	429
457	361	428
458	362	427
459	363	426
460	364	425
461	364	424
462	365	424
463	366	423
464	367	423
465	368	422
466	369	421
467	370	420
468	370	419
469	371	419
470	372	418
471	373	417
472	373	416
473	374	415
474	375	414
475	376	414
476	376	413
477	377	412
478	378	411
479	379	410
480	379	409
481	380	409
482	381	408
483	382	407
484	383	406
485	383	406
486	384	405
487	385	404
488	386	403
489	386	402
490	387	401
491	388	401
492	389	400
493	389	399
494	390	398
495	391	397
496	392	397
497	393	396
498	393	395
499	394	394
500	395	393
501	396	393
502	396	392
503	397	391
504	398	390
505	399	389
506	400	388
507	400	388
508	401	387
509	402	386
510	403	385
511	403	384
512	404	384
513	405	383
514	406	382
515	407	381
516	407	381
517	408	380
518	409	379
519	410	378
520	410	377
521	411	376
522	412	376
523	413	375
524	413	374
525	414	373
526	415	372
527	416	371
528	416	371
529	417	370
530	418	369
531	419	368
532	420	367
533	420	367
534	421	366
535	422	365
536	423	364
537	423	363
538	424	363
539	425	362
540	426	361
541	426	360
542	427	359
543	428	359
544	429	358
545	429	357
546	430	356
547	431	356
548	432	355
549	433	354
550	433	353
551	434	352
552	435	351
553	436	351
554	436	350
555	437	349
556	438	348
557	439	347
558	440	347
559	440	346
560	441	345
561	442	344
562	442	343
563	443	343
564	444	342
565	445	341
566	446	340
567	447	340
568	448	339
569	448	338
570	449	337
571	450	336
572	451	336
573	451	335
574	452	334
575	453	333
576	454	332
577	454	332
578	455	331
579	456	330
580	457	329
581	458	329
582	458	328
583	459	327
584	460	326
585	461	325
586	461	325
587	462	324
588	463	323
589	464	322
590	464	321
591	465	320
592	466	320
593	467	319
594	467	318
595	468	317
596	469	317
597	470	316
598	471	315
599	472	314
600	472	313
601	473	313
602	474	312
603	474	311
604	475	310
605	476	309
606	477	309
607	478	308
608	478	307
609	479	306
610	480	305
611	481	305
612	482	304
613	482	303
614	483	302
615	484	301
616	485	301
617	485	300
618	486	299
619	487	298
620	488	297
621	489	297
622	489	296
623	490	295
624	491	294
625	492	294
626	492	293
627	493	292
628	494	291
629	495	291
630	496	290
631	496	289
632	497	288
633	498	287
634	499	286
635	500	286
636	500	285
637	501	284
638	502	283
639	503	282
640	503	282
641	504	281
642	505	280
643	506	279
644	507	279
645	507	278
646	508	277
647	509	276
648	510	275
649	511	275
650	511	274
651	512	273
652	513	272
653	514	271
654	514	271
655	515	270
656	516	269
657	517	268
658	517	267
659	518	267
660	519	266
661	520	265
662	521	264
663	521	264
664	522	263
665	523	262
666	524	261
667	524	260
668	525	260
669	526	259
670	527	258
671	528	257
672	529	257
673	530	256
674	531	255
675	531	254
676	532	254
677	533	253
678	534	252
679	535	251
680	536	251
681	536	250
682	537	249
683	538	248
684	539	247
685	539	247
686	540	246
687	541	245
688	542	244
689	542	243
690	543	243
691	544	242
692	545	241
693	546	240
694	547	240
695	547	239
696	548	238
697	549	237
698	550	236
699	550	236
700	551	235
701	552	234
702	553	233
703	553	232
704	554	232
705	555	231
706	556	230
707	556	229
708	557	228
709	558	228
710	559	227
711	560	226
712	561	225
713	561	225
714	562	224
715	563	223
716	564	222
717	564	221
718	565	221
719	566	220
720	567	219
721	567	218
722	568	217
723	569	217
724	570	216
725	571	215
726	571	214
727	572	213
728	573	213
729	574	212
730	574	211
731	575	210
732	576	209
733	577	209
734	577	208
735	578	207
736	579	206
737	580	205
738	580	205
739	581	204
740	582	203
741	583	202
742	584	202
743	584	201
744	585	200
745	586	199
746	587	198
747	587	198
748	588	197
749	589	196
750	590	195
751	590	194
752	591	194
753	592	193
754	593	192
755	593	191
756	594	190
757	595	190
758	596	189
759	597	188
760	597	187
761	598	187
762	599	186
763	600	185
764	601	184
765	601	183
766	602	183
767	603	182
768	604	181
769	604	180
770	605	179
771	606	179
772	607	178
773	608	177
774	608	176
775	609	176
776	610	175
777	611	174
778	612	173
779	612	172
780	613	172
781	614	171
782	615	170
783	615	169
784	616	168
785	617	168
786	618	167
787	618	166
788	619	165
789	620	164
790	621	164
791	622	163
792	622	162
793	623	161
794	624	161
795	625	160
796	626	159
797	626	158
798	627	157
799	628	157
800	629	156
801	629	155
802	630	154
803	631	153
804	632	153
805	632	152
806	633	151
807	634	150
808	635	150
809	636	149
810	637	148
811	637	147
812	638	146
813	639	146
814	640	145
815	640	144
816	641	143
817	642	142
818	643	142
819	643	141
820	644	140
821	645	139
822	646	138
823	647	138
824	647	137
825	648	136
826	649	135
827	650	135
828	651	134
829	651	133
830	652	132
831	653	131
832	654	131
833	654	130
834	655	129
835	656	128
836	656	127
837	657	127
838	658	126
839	659	125
840	660	124
841	661	124
842	661	123
843	662	122
844	663	121
845	664	120
846	665	120
847	665	119
848	666	118
849	667	117
850	668	116
851	668	116
852	669	115
853	670	114
854	671	113
855	672	113
856	672	112
857	673	111
858	674	110
859	675	109
860	675	109
861	676	108
862	677	107
863	678	106
864	678	105
865	679	105
866	680	104
867	681	103
868	681	102
869	682	102
870	683	101
871	684	100
872	685	99
873	685	98
874	686	98
875	687	97
876	688	96
877	689	95
878	689	94
879	690	94
880	691	93
881	692	92
882	692	91
883	693	91
884	694	90
885	695	89
886	695	88
887	696	87
888	697	87
889	698	86
890	699	85
891	699	84
892	700	83
893	701	83
894	702	82
895	702	81
896	703	80
897	704	80
898	705	79
899	705	78
900	706	77
901	707	76
902	708	76
903	708	75
904	709	74
905	710	73
906	711	72
907	712	72
908	712	71
909	713	70
910	714	69
911	715	68
912	715	68
913	716	67
914	717	66
915	718	65
916	719	65
917	720	64
918	721	63
919	721	62
920	722	61
921	723	61
922	724	60
923	724	59
924	725	58
925	726	58
926	727	57
927	727	56
928	728	55
929	729	54
930	730	54
931	730	53
932	731	52
933	732	51
934	733	50
935	734	50
936	734	49
937	735	48
938	736	47
939	737	47
940	738	46
941	738	45
942	739	44
943	740	43
944	741	43
945	741	42
946	742	41
947	743	40
948	744	39
949	744	39
950	745	38
951	746	37
952	747	36
953	748	36
954	748	35
955	749	34
956	750	33
957	751	32
958	751	32
959	752	31
960	753	30
961	754	29
962	754	29
963	755	28
964	756	27
965	757	26
966	757	25
967	758	25
968	759	24
969	760	23
970	761	22
971	761	21
972	762	21
973	763	20
974	764	19
975	764	18
976	765	18
977	766	17
978	767	16
979	767	15
980	768	14
981	769	14
982	770	13
983	771	12
984	771	11
985	772	10
986	773	10
987	774	9
988	775	8
989	775	7
990	776	7
991	777	6
992	778	5
993	778	4
994	779	3
995	780	3
996	781	2
997	781	1
998	782	0
999	783	0
